Grado,Apellido paterno ,Apellido Materno,Nombre,Nivel ,Institución de adcripción ,Área de conocimiento
DR.,VERMA,JAISWAL,SURENDRA PAL,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,ALONSO,SANCHEZ,JORGE,3,CENTRO DE INVESTIGACION Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,Área IV: Humanidades y Ciencias de la Conducta
DRA.,AZAOLA,GARRIDO,ELENA,3,CENTRO DE INVESTIGACION Y ESTUDIOS SUPERIORES EN ANTROPOLOGIA SOCIAL,Área IV: Humanidades y Ciencias de la Conducta
DR.,RAMON,ROMERO,FIDEL ALBERTO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: Biología y Química
DR.,PEREZ,ANGON,MIGUEL ANGEL,3,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,MEDINA,NOYOLA,MAGDALENO,3,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,MORAN,LOPEZ,JOSE LUIS,3,"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,LLAMA,LEAL,MIGUEL ANGEL,1,TECNOLOGICO NACIONAL DE MEXICO,Área VII: Ingenierías
DR.,SANTIBAÑEZ,DAVILA,VICTOR ADRIAN,3,TECNOLOGICO NACIONAL DE MEXICO,Área VII: Ingenierías
DR.,SOTO,RODRIGUEZ,ROGELIO,2,INSTITUTO TECNOLOGICO Y DE ESTUDIOS SUPERIORES DE MONTERREY,Área VII: Ingenierías
DR.,VALDES,PEREZGASGA,FRANCISCO,2,TECNOLOGICO NACIONAL DE MEXICO,Área VII: Ingenierías
DR.,HAHN,SCHLAM,FEDERICO FELIX,2,UNIVERSIDAD AUTONOMA CHAPINGO,Área VII: Ingenierías
DR.,HUERTA,QUINTANILLA,RODRIGO,3,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,LUCIO,MARTINEZ,JOSE LUIS,3,UNIVERSIDAD DE GUANAJUATO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,HERNANDEZ-VELA,SALGADO,EDMUNDO,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área V: Ciencias Sociales
DR.,SANCHEZ,RUIZ,ENRIQUE ERNESTO,3,UNIVERSIDAD DE GUADALAJARA,Área V: Ciencias Sociales
DR.,MENDOZA,ALVAREZ,JULIO GREGORIO,3,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,GONZALEZ,DE LA CRUZ,GERARDO ACACIO,3,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,HERNANDEZ,LERMA,ONESIMO,3,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,SERRANO,SANTOYO,ARTURO,2,CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA,Área VII: Ingenierías
DR.,ZAPATA,SCHAFFELD,FRANCISCO JUAN,3,"EL COLEGIO DE MEXICO, A.C.",Área V: Ciencias Sociales
DRA.,VELASCO,BELMONT,ROSA MARIA,3,UNIVERSIDAD AUTONOMA METROPOLITANA,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,VARELA,HAM,JUAN RUBEN,1,UNIVERSIDAD AUTONOMA METROPOLITANA,Área VII: Ingenierías
DRA.,PALAZON,MAYORAL,MARIA ROSA,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área IV: Humanidades y Ciencias de la Conducta
DR.,DARSZON,ISRAEL,ALBERTO,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área II: Biología y Química
DR.,ALVAREZ,BORREGO,SAUL,3,CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA,Área II: Biología y Química
DR.,LARA,LARA,JOSE RUBEN,3,CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,MARINONE,MOSCHETTO,SILVIO GUIDO LORENZO,3,CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,OCHOA,DE LA TORRE,JOSE LUIS,3,CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,GOMEZ,VALDES,JOSE,2,CENTRO DE INVESTIGACION CIENTIFICA Y DE EDUCACION SUPERIOR DE ENSENADA,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,BÜCKLE,RAMIREZ,LUIS FERNANDO,3,Sin información ,Área VI: Biotecnología y Ciencias Agropecuarias
DR.,OSORIO,SAUCEDO,RUPERTO,1,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área VII: Ingenierías
DR.,MORALES,ROMERO,ARQUIMEDES ALONSO,1,"CENTRO DE INVESTIGACIONES EN OPTICA, A.C.",Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,LARA,RAMOS,LUIS FERNANDO,3,"EL COLEGIO DE MEXICO, A.C.",Área IV: Humanidades y Ciencias de la Conducta
DR.,JOSEPH,NATHAN,PEDRO,3,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área II: Biología y Química
MTRA.,OCAMPO,ALFARO,AURORA MAURA,2,Sin información ,Área IV: Humanidades y Ciencias de la Conducta
DR.,JUARISTI,COSIO,EUSEBIO,3,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área II: Biología y Química
DRA.,MORALES,RIOS,MARTHA SONIA,3,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área II: Biología y Química
DR.,MORON,RIOS,MIGUEL ANGEL,3,"INSTITUTO DE ECOLOGIA, A.C.",Área II: Biología y Química
DR.,BONILLA,ESTRADA,MOISES,1,CENTRO DE INVESTIGACION Y DE ESTUDIOS AVANZADOS DEL IPN,Área VII: Ingenierías
DR.,ORTEGA,GUTIERREZ,FERNANDO,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,RICKARDS,CAMPBELL,JORGE,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,JOSE,YACAMAN,MIGUEL,3,UNIVERSIDAD AUTONOMA DE SAN LUIS POTOSI,Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,PEREZ,CAMPOS,RAMIRO,3,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área VII: Ingenierías
DR.,AVALOS,BORJA,MIGUEL,3,"INSTITUTO POTOSINO DE INVESTIGACION CIENTIFICA Y TECNOLOGICA, A.C.",Área I: Físico-Matemáticas y Ciencias de la Tierra
DR.,GOMEZ,RODRIGUEZ,ALFREDO,2,UNIVERSIDAD NACIONAL AUTONOMA DE MEXICO,Área I: Físico-Matemáticas y Ciencias de la Tierra
